key,token
C[C@@H](O)[C@H](O)[C@H](O)CO,0
[NH3+]CCCC[NH3+],0
Cc1nccc(=O)[nH]1,0
C[C@@H](C(=O)[O-])[P+](=O)(=O)[O-],0
O=c1[nH]oc(=O)[nH]1,0
CCC[C@H](C)CC,0
CC1=NCCCN1,0
O=C1NCC=C(O)N1,0
Oc1ccccc1Br,0
C1CNCNC1,0
N=O,0
C[C@H](S)C=O,0
OC1[C@@H](O)CNC[C@@H]1O,0
C[C@H]1CCCC[NH2+]1,0
O=[P@]([O-])(O)N[P@](=O)([O-])O[P+](=O)(=O)[O-],0
CC(C)C[C@H]([NH3+])C=O,0
[NH2+]=C1NCCN1,0
Cc1cccc(Br)c1,0
CCC/N=C(/N)S,0
CCCCCCO,0
O[C@@H]1CC[C@H](O)OC1,0
CCC(O)(O)CCC=O,0
O=[P@@H]([O-])O,0
C1=CNCC=N1,0
C[C@@H](O)[C@@H](O)CO,0
CC(C)C[P+](=O)(=O)[O-],0
Cc1ccccc1N,0
Cc1ccn(C)c(=O)c1,0
O=S1(=O)C=CC=N1,0
C[C@@H](O)C[C@H](O)[C@H](O)[C@@H](O)CO,0
O=C1C=CC=CC1=O,0
C[C@@H]1C=COC1,0
C[C@@H]1OCCC[C@H]1O,0
O=c1cns[nH]1,0
